phrase,meaning,example
hit different #1524,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #1525,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #1526,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1527,과시하다,He likes to flex his new watch.
on fleek #1528,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1529,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1530,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1531,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1532,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #1533,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1534,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1535,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1536,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1537,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1538,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1539,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1540,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1541,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1542,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1543,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1544,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #1545,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #1546,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #1547,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1548,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1549,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1550,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1551,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #1552,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1553,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #1554,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1555,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #1556,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #1557,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #1558,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1559,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1560,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #1561,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1562,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #1563,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1564,과시하다,He likes to flex his new watch.
spill the tea #1565,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #1566,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1567,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1568,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1569,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1570,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1571,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1572,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1573,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #1574,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #1575,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1576,거짓말,He said he met Beyoncé. That’s cap.
no cap #1577,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1578,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1579,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1580,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #1581,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #1582,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1583,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1584,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1585,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1586,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1587,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #1588,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #1589,과시하다,He likes to flex his new watch.
cap #1590,거짓말,He said he met Beyoncé. That’s cap.
hit different #1591,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1592,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1593,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1594,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1595,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1596,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #1597,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #1598,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1599,이전과 다르게 느껴지다,This song just hits different at night.
flex #1600,과시하다,He likes to flex his new watch.
low-key #1601,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #1602,과시하다,He likes to flex his new watch.
no cap #1603,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1604,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #1605,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #1606,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1607,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #1608,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1609,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1610,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #1611,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1612,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1613,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1614,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1615,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #1616,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #1617,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #1618,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #1619,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1620,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1621,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1622,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1623,거짓말,He said he met Beyoncé. That’s cap.
no cap #1624,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1625,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1626,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1627,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #1628,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1629,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1630,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1631,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1632,과시하다,He likes to flex his new watch.
cap #1633,거짓말,He said he met Beyoncé. That’s cap.
no cap #1634,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1635,과시하다,He likes to flex his new watch.
low-key #1636,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1637,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1638,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1639,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1640,거짓말,He said he met Beyoncé. That’s cap.
high-key #1641,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #1642,거짓말,He said he met Beyoncé. That’s cap.
high-key #1643,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1644,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1645,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1646,거짓말,He said he met Beyoncé. That’s cap.
cap #1647,거짓말,He said he met Beyoncé. That’s cap.
low-key #1648,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1649,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #1650,과시하다,He likes to flex his new watch.
spill the tea #1651,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1652,거짓말,He said he met Beyoncé. That’s cap.
high-key #1653,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1654,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1655,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1656,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1657,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #1658,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1659,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1660,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1661,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1662,거짓말,He said he met Beyoncé. That’s cap.
low-key #1663,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1664,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1665,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #1666,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #1667,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #1668,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1669,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1670,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1671,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1672,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #1673,과시하다,He likes to flex his new watch.
low-key #1674,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1675,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1676,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1677,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1678,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #1679,과시하다,He likes to flex his new watch.
high-key #1680,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1681,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1682,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #1683,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #1684,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1685,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1686,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1687,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1688,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1689,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1690,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #1691,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #1692,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1693,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #1694,과시하다,He likes to flex his new watch.
spill the tea #1695,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1696,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1697,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #1698,과시하다,He likes to flex his new watch.
ghost someone #1699,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1700,과시하다,He likes to flex his new watch.
throw shade #1701,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #1702,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1703,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1704,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1705,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #1706,거짓말,He said he met Beyoncé. That’s cap.
no cap #1707,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #1708,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1709,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1710,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1711,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1712,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #1713,과시하다,He likes to flex his new watch.
flex #1714,과시하다,He likes to flex his new watch.
low-key #1715,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1716,이전과 다르게 느껴지다,This song just hits different at night.
flex #1717,과시하다,He likes to flex his new watch.
spill the tea #1718,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #1719,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1720,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #1721,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1722,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1723,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1724,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1725,이전과 다르게 느껴지다,This song just hits different at night.
cap #1726,거짓말,He said he met Beyoncé. That’s cap.
cap #1727,거짓말,He said he met Beyoncé. That’s cap.
high-key #1728,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1729,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1730,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1731,과시하다,He likes to flex his new watch.
flex #1732,과시하다,He likes to flex his new watch.
high-key #1733,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1734,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1735,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #1736,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #1737,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1738,거짓말,He said he met Beyoncé. That’s cap.
on fleek #1739,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1740,거짓말,He said he met Beyoncé. That’s cap.
flex #1741,과시하다,He likes to flex his new watch.
hit different #1742,이전과 다르게 느껴지다,This song just hits different at night.
cap #1743,거짓말,He said he met Beyoncé. That’s cap.
no cap #1744,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #1745,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1746,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1747,이전과 다르게 느껴지다,This song just hits different at night.
cap #1748,거짓말,He said he met Beyoncé. That’s cap.
low-key #1749,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1750,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1751,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #1752,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #1753,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1754,거짓말,He said he met Beyoncé. That’s cap.
low-key #1755,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1756,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1757,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1758,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1759,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1760,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1761,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1762,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1763,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1764,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1765,거짓말,He said he met Beyoncé. That’s cap.
low-key #1766,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1767,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1768,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1769,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1770,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #1771,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1772,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #1773,과시하다,He likes to flex his new watch.
spill the tea #1774,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1775,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1776,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1777,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1778,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1779,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1780,거짓말,He said he met Beyoncé. That’s cap.
low-key #1781,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1782,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1783,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #1784,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #1785,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #1786,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1787,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1788,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1789,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1790,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1791,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1792,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1793,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #1794,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1795,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1796,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1797,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1798,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #1799,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1800,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1801,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1802,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1803,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1804,거짓말,He said he met Beyoncé. That’s cap.
hit different #1805,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1806,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1807,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1808,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #1809,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1810,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #1811,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1812,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1813,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #1814,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1815,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #1816,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1817,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1818,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #1819,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #1820,과시하다,He likes to flex his new watch.
low-key #1821,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1822,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #1823,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #1824,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1825,거짓말,He said he met Beyoncé. That’s cap.
flex #1826,과시하다,He likes to flex his new watch.
on fleek #1827,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1828,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1829,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1830,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1831,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1832,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1833,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #1834,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #1835,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1836,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1837,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1838,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #1839,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #1840,과시하다,He likes to flex his new watch.
throw shade #1841,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1842,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1843,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #1844,과시하다,He likes to flex his new watch.
spill the tea #1845,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #1846,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1847,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #1848,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1849,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1850,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1851,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1852,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1853,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1854,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #1855,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1856,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #1857,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #1858,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1859,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1860,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1861,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1862,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1863,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1864,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1865,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1866,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1867,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1868,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1869,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1870,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1871,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1872,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1873,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1874,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1875,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #1876,과시하다,He likes to flex his new watch.
no cap #1877,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #1878,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1879,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #1880,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #1881,거짓말,He said he met Beyoncé. That’s cap.
on fleek #1882,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #1883,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #1884,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #1885,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1886,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1887,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1888,이전과 다르게 느껴지다,This song just hits different at night.
cap #1889,거짓말,He said he met Beyoncé. That’s cap.
hit different #1890,이전과 다르게 느껴지다,This song just hits different at night.
cap #1891,거짓말,He said he met Beyoncé. That’s cap.
on fleek #1892,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1893,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1894,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #1895,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #1896,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #1897,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1898,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1899,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #1900,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1901,이전과 다르게 느껴지다,This song just hits different at night.
flex #1902,과시하다,He likes to flex his new watch.
cap #1903,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #1904,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1905,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1906,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1907,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1908,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1909,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1910,거짓말,He said he met Beyoncé. That’s cap.
no cap #1911,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #1912,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1913,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1914,과시하다,He likes to flex his new watch.
ghost someone #1915,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #1916,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1917,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1918,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1919,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #1920,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1921,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1922,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1923,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
